Object,qid,feature 1,feature 2,Score,Rank
833,1,1,0.124,-2.256,1874
834,1,1,0.726,1.356,1017
835,1,1,0.738,1.428,996
836,1,1,0.889,2.334,706
837,1,0,0.034,0.204,1422
838,1,1,0.573,0.438,1331
839,1,1,0.668,1.008,1139
840,1,1,0.996,2.976,517
841,1,1,0.139,-2.166,1855
842,1,0,0.669,4.014,354
843,1,1,0.743,1.458,980
844,1,0,0.296,1.776,888
845,1,1,0.078,-2.532,1917
846,1,1,0.59,0.54,1305
847,1,1,0.211,-1.734,1792
848,1,0,0.574,3.444,442
849,1,0,0.685,4.11,334
850,1,0,0.905,5.43,126
851,1,1,0.533,0.198,1424
852,1,0,0.155,0.93,1175
853,1,1,0.009,-2.946,1997
854,1,0,1,6,1
855,1,0,0.395,2.37,697
856,1,0,0.313,1.878,857
857,1,0,0.7,4.2,316
858,1,0,0.494,2.964,520
859,1,0,0.786,4.716,233
860,1,1,0.22,-1.68,1783
861,1,0,0.484,2.904,537
862,1,1,0.877,2.262,720
863,1,0,0.107,0.642,1266
864,1,1,0.873,2.238,732
865,1,0,0.929,5.574,93
866,1,1,0.033,-2.802,1975
867,1,0,0.019,0.114,1444
868,1,0,0.77,4.62,249
869,1,0,0.072,0.432,1334
870,1,0,0.112,0.672,1258
871,1,1,0.856,2.136,763
872,1,0,0.223,1.338,1022
873,1,1,0.849,2.094,782
874,1,1,0.61,0.66,1261
875,1,1,0.377,-0.738,1613
876,1,0,0.079,0.474,1325
877,1,0,0.39,2.34,704
878,1,1,0.875,2.25,723
879,1,0,0.988,5.928,16
880,1,1,0.58,0.48,1324
881,1,1,0.271,-1.374,1730
882,1,0,0.419,2.514,663
883,1,0,0.738,4.428,278
884,1,1,0.19,-1.86,1816
885,1,1,0.251,-1.494,1753
886,1,1,0.63,0.78,1212
887,1,0,0.455,2.73,599
888,1,1,0.885,2.31,711
889,1,1,0.061,-2.634,1931
890,1,0,0.937,5.622,83
891,1,1,0.314,-1.116,1684
892,1,0,0.481,2.886,544
893,1,1,0.079,-2.526,1915
894,1,1,0.983,2.898,540
895,1,1,0.979,2.874,547
896,1,1,0.724,1.344,1021
897,1,0,0.217,1.302,1040
898,1,1,0.109,-2.346,1890
899,1,1,0.942,2.652,616
900,1,1,0.527,0.162,1433
901,1,0,0.17,1.02,1135
902,1,1,0.322,-1.068,1670
903,1,1,0.286,-1.284,1707
904,1,0,0.667,4.002,358
905,1,0,0.318,1.908,848
906,1,1,0.444,-0.336,1548
907,1,0,0.452,2.712,606
908,1,1,0.196,-1.824,1810
909,1,1,0.648,0.888,1186
910,1,1,0.462,-0.228,1526
911,1,1,0.976,2.856,554
912,1,0,0.69,4.14,328
913,1,1,0.514,0.084,1454
914,1,0,0.145,0.87,1195
915,1,0,0.978,5.868,26
916,1,1,0.221,-1.674,1781
917,1,0,0.164,0.984,1156
918,1,1,0.202,-1.788,1804
919,1,0,0.655,3.93,373
920,1,0,0.091,0.546,1301
921,1,1,0.25,-1.5,1755
922,1,0,0.826,4.956,188
923,1,0,0.594,3.564,428
924,1,0,0.055,0.33,1373
925,1,0,0.168,1.008,1139
926,1,0,0.044,0.264,1399
927,1,0,0.768,4.608,250
928,1,0,0.338,2.028,809
929,1,1,0.255,-1.47,1745
930,1,1,0.859,2.154,757
931,1,1,0.778,1.668,917
932,1,0,0.978,5.868,26
933,1,1,0.854,2.124,768
934,1,0,0.262,1.572,947
935,1,1,0.802,1.812,879
936,1,0,0.143,0.858,1199
937,1,1,0.248,-1.512,1758
938,1,0,0.533,3.198,474
939,1,0,0.542,3.252,467
940,1,1,0.837,2.022,812
941,1,0,0.271,1.626,931
942,1,1,0.517,0.102,1447
943,1,1,0.546,0.276,1393
944,1,0,0.104,0.624,1279
945,1,0,0.258,1.548,952
946,1,0,0.585,3.51,434
947,1,1,0.942,2.652,616
948,1,0,0.432,2.592,633
949,1,0,0.843,5.058,177
950,1,1,0.271,-1.374,1730
951,1,0,0.604,3.624,422
952,1,1,0.331,-1.014,1660
953,1,0,0.951,5.706,62
954,1,1,0.284,-1.296,1713
955,1,1,0.421,-0.474,1565
956,1,1,0.856,2.136,763
957,1,1,0.75,1.5,972
958,1,0,0.849,5.094,168
959,1,1,0.706,1.236,1054
960,1,1,0.107,-2.358,1891
961,1,1,0.54,0.24,1405
962,1,1,0.731,1.386,1003
963,1,1,0.666,0.996,1149
964,1,1,0.458,-0.252,1532
965,1,1,0.437,-0.378,1555
966,1,0,0.937,5.622,83
967,1,0,0.239,1.434,995
968,1,0,0.116,0.696,1244
969,1,0,0.888,5.328,137
970,1,0,0.964,5.784,40
971,1,0,0.536,3.216,471
972,1,0,0.035,0.21,1418
973,1,0,0.341,2.046,800
974,1,1,0.913,2.478,670
975,1,1,0.66,0.96,1164
976,1,1,0.87,2.22,738
977,1,1,0.683,1.098,1098
978,1,0,0.47,2.82,574
979,1,1,0.798,1.788,886
980,1,0,0.737,4.422,279
981,1,0,0.35,2.1,780
982,1,1,0.445,-0.33,1546
983,1,1,0.336,-0.984,1655
984,1,1,0.272,-1.368,1727
985,1,0,0.664,3.984,363
986,1,0,0.706,4.236,310
987,1,1,0.936,2.616,625
988,1,0,0.99,5.94,13
989,1,0,0.614,3.684,411
990,1,0,0.678,4.068,341
991,1,1,0.283,-1.302,1715
992,1,1,0.88,2.28,716
993,1,1,0.829,1.974,828
994,1,1,0.492,-0.048,1494
995,1,1,0.754,1.524,961
996,1,0,0.596,3.576,427
997,1,1,0.012,-2.928,1990
998,1,1,0.534,0.204,1421
999,1,0,0.277,1.662,919
1000,1,0,0.88,5.28,144
1001,1,1,0.34,-0.96,1651
1002,1,1,0.613,0.678,1257
1003,1,0,0.295,1.77,892
1004,1,1,0.216,-1.704,1787
1005,1,1,0.458,-0.252,1532
1006,1,0,0.879,5.274,148
1007,1,0,0.322,1.932,842
1008,1,1,0.546,0.276,1393
1009,1,1,0.093,-2.442,1909
1010,1,1,0.832,1.992,820
1011,1,1,0.517,0.102,1447
1012,1,1,0.449,-0.306,1541
1013,1,0,0.668,4.008,357
1014,1,0,0.246,1.476,977
1015,1,0,0.882,5.292,142
1016,1,0,0.591,3.546,430
1017,1,0,0.115,0.69,1248
1018,1,0,0.248,1.488,975
1019,1,1,0.364,-0.816,1626
1020,1,0,0.387,2.322,709
1021,1,0,0.94,5.64,75
1022,1,0,0.447,2.682,613
1023,1,0,0.766,4.596,254
1024,1,0,0.786,4.716,233
1025,1,0,0.368,2.208,742
1026,1,0,0.748,4.488,268
1027,1,1,0.508,0.048,1466
1028,1,0,0.622,3.732,405
1029,1,1,0.037,-2.778,1967
1030,1,0,0.896,5.376,130
1031,1,1,0.095,-2.43,1905
1032,1,1,0.464,-0.216,1521
1033,1,0,0.428,2.568,639
1034,1,0,0.449,2.694,611
1035,1,1,0.122,-2.268,1876
1036,1,1,0.926,2.556,640
1037,1,1,0.975,2.85,559
1038,1,1,0.233,-1.602,1770
1039,1,1,0.791,1.746,896
1040,1,0,0.205,1.23,1056
1041,1,1,0.807,1.842,867
1042,1,1,0.252,-1.488,1752
1043,1,0,0.228,1.368,1009
1044,1,1,0.697,1.182,1069
1045,1,0,0.801,4.806,220
1046,1,1,0.333,-1.002,1658
1047,1,1,0.535,0.21,1419
1048,1,0,0.654,3.924,374
1049,1,1,0.605,0.63,1275
1050,1,0,0.423,2.538,652
1051,1,1,0.441,-0.354,1551
1052,1,1,0.311,-1.134,1688
1053,1,1,0.459,-0.246,1529
1054,1,0,0.963,5.778,42
1055,1,0,0.919,5.514,105
1056,1,0,0.541,3.246,468
1057,1,0,0.156,0.936,1171
1058,1,0,0.784,4.704,237
1059,1,0,0.866,5.196,159
1060,1,1,0.381,-0.714,1607
1061,1,0,0.772,4.632,248
1062,1,1,0.484,-0.096,1504
1063,1,0,0.211,1.266,1046
1064,1,1,0.249,-1.506,1757
1065,1,1,0.334,-0.996,1656
1066,1,1,0.97,2.82,571
1067,1,0,0.253,1.518,964
1068,1,0,0.105,0.63,1273
1069,1,1,0.345,-0.93,1646
1070,1,1,0.006,-2.964,1998
1071,1,0,0.396,2.376,695
1072,1,0,0.313,1.878,857
1073,1,0,0.647,3.882,382
1074,1,0,0.762,4.572,260
1075,1,1,0.605,0.63,1275
1076,1,0,0.659,3.954,371
1077,1,0,0.455,2.73,599
1078,1,0,0.995,5.97,6
1079,1,1,0.347,-0.918,1644
1080,1,0,0.567,3.402,448
1081,1,0,0.351,2.106,778
1082,1,1,0.261,-1.434,1738
1083,1,0,0.741,4.446,274
1084,1,1,0.674,1.044,1120
1085,1,0,0.148,0.888,1186
1086,1,1,0.209,-1.746,1795
1087,1,0,0.614,3.684,411
1088,1,1,0.144,-2.136,1850
1089,1,1,0.363,-0.822,1627
1090,1,1,0.101,-2.394,1900
1091,1,1,0.918,2.508,664
1092,1,0,0.843,5.058,177
1093,1,1,0.908,2.448,682
1094,1,0,0.604,3.624,422
1095,1,0,0.371,2.226,737
1096,1,0,0.844,5.064,174
1097,1,0,0.106,0.636,1272
1098,1,1,0.01,-2.94,1995
1099,1,0,0.038,0.228,1410
1100,1,1,0.673,1.038,1125
1101,1,0,0.119,0.714,1236
1102,1,1,0.107,-2.358,1891
1103,1,0,0.878,5.268,149
1104,1,0,0.874,5.244,154
1105,1,0,0.983,5.898,22
1106,1,1,0.239,-1.566,1766
1107,1,0,0.184,1.104,1092
1108,1,0,0.736,4.416,281
1109,1,0,0.593,3.558,429
1110,1,0,0.956,5.736,52
1111,1,1,0.394,-0.636,1593
1112,1,1,0.838,2.028,810
1113,1,0,0.414,2.484,669
1114,1,1,0.173,-1.962,1833
1115,1,1,0.893,2.358,701
1116,1,0,0.244,1.464,978
1117,1,1,0.763,1.578,944
1118,1,0,0.875,5.25,151
1119,1,0,0.919,5.514,105
1120,1,0,0.052,0.312,1382
1121,1,0,0.57,3.42,447
1122,1,0,0.62,3.72,406
1123,1,1,0.97,2.82,571
1124,1,1,0.242,-1.548,1761
1125,1,0,0.973,5.838,31
1126,1,1,0.775,1.65,921
1127,1,1,0.704,1.224,1059
1128,1,1,0.362,-0.828,1631
1129,1,0,0.321,1.926,846
1130,1,0,0.114,0.684,1254
1131,1,0,0.522,3.132,487
1132,1,1,0.353,-0.882,1637
1133,1,1,0.119,-2.286,1881
1134,1,0,0.636,3.816,391
1135,1,1,0.508,0.048,1466
1136,1,1,0.607,0.642,1268
1137,1,0,0.987,5.922,17
1138,1,1,0.274,-1.356,1725
1139,1,1,0.369,-0.786,1621
1140,1,1,0.694,1.164,1079
1141,1,0,0.626,3.756,399
1142,1,0,0.359,2.154,757
1143,1,1,0.031,-2.814,1979
1144,1,1,0.572,0.432,1337
1145,1,0,0.942,5.652,74
1146,1,1,0.905,2.43,688
1147,1,0,0.571,3.426,444
1148,1,1,0.992,2.952,523
1149,1,0,0.163,0.978,1158
1150,1,0,0.672,4.032,350
1151,1,1,0.939,2.634,619
1152,1,0,0.267,1.602,937
1153,1,0,0.709,4.254,306
1154,1,1,0.588,0.528,1310
1155,1,0,0.938,5.628,80
1156,1,0,0.959,5.754,49
1157,1,1,0.17,-1.98,1836
1158,1,0,0.409,2.454,680
1159,1,1,0.473,-0.162,1512
1160,1,0,0.567,3.402,448
1161,1,0,0.547,3.282,464
1162,1,1,0.925,2.55,643
1163,1,1,0.946,2.676,615
1164,1,0,0.667,4.002,358
1165,1,0,0.305,1.83,871
1166,1,0,0.124,0.744,1225
1167,1,1,0.375,-0.75,1615
1168,1,1,0.017,-2.898,1988
1169,1,1,0.698,1.188,1066
1170,1,0,0.64,3.84,388
1171,1,1,0.034,-2.796,1974
1172,1,0,0.897,5.382,129
1173,1,1,0.12,-2.28,1878
1174,1,0,0.583,3.498,436
1175,1,1,0.87,2.22,738
1176,1,0,0.447,2.682,613
1177,1,0,0.356,2.136,763
1178,1,0,0.132,0.792,1211
1179,1,1,0.18,-1.92,1825
1180,1,0,0.228,1.368,1009
1181,1,1,0.001,-2.994,2000
1182,1,0,0.697,4.182,320
1183,1,1,0.766,1.596,939
1184,1,0,0.233,1.398,1002
1185,1,0,0.846,5.076,170
1186,1,1,0.784,1.704,907
1187,1,0,0.917,5.502,109
1188,1,1,0.027,-2.838,1984
1189,1,0,0.955,5.73,56
1190,1,0,0.664,3.984,363
1191,1,0,0.894,5.364,132
1192,1,1,0.816,1.896,850
1193,1,1,0.727,1.362,1012
1194,1,1,0.643,0.858,1198
1195,1,0,0.66,3.96,370
1196,1,0,0.962,5.772,44
1197,1,1,0.649,0.894,1183
1198,1,0,0.786,4.716,233
1199,1,1,0.748,1.488,976
1200,1,1,0.661,0.966,1162
1201,1,0,0.783,4.698,239
1202,1,0,0.962,5.772,44
1203,1,0,0.868,5.208,156
1204,1,0,0.403,2.418,690
1205,1,0,0.656,3.936,372
1206,1,0,0.721,4.326,298
1207,1,1,0.551,0.306,1385
1208,1,1,0.397,-0.618,1590
1209,1,1,0.28,-1.32,1720
1210,1,0,0.088,0.528,1308
1211,1,1,0.854,2.124,768
1212,1,0,0.587,3.522,431
1213,1,1,0.486,-0.084,1500
1214,1,0,0.527,3.162,482
1215,1,0,0.141,0.846,1200
1216,1,0,0.507,3.042,508
1217,1,0,0.824,4.944,189
1218,1,0,0.395,2.37,697
1219,1,1,0.446,-0.324,1544
1220,1,1,0.151,-2.094,1846
1221,1,0,0.072,0.432,1334
1222,1,1,0.132,-2.208,1862
1223,1,1,0.804,1.824,874
1224,1,1,0.831,1.986,823
1225,1,0,0.608,3.648,416
1226,1,0,0.784,4.704,237
1227,1,0,0.087,0.522,1312
1228,1,0,0.902,5.412,127
1229,1,1,0.852,2.112,776
1230,1,1,0.062,-2.628,1930
1231,1,0,0.902,5.412,127
1232,1,0,0.802,4.812,219
1233,1,0,0.847,5.082,169
1234,1,1,0.141,-2.154,1852
1235,1,0,0.394,2.364,700
1236,1,1,0.553,0.318,1376
1237,1,1,0.365,-0.81,1625
1238,1,1,0.315,-1.11,1682
1239,1,1,0.241,-1.554,1762
1240,1,0,0.549,3.294,461
1241,1,0,0.975,5.85,29
1242,1,0,0.96,5.76,47
1243,1,0,0.567,3.402,448
1244,1,0,0.884,5.304,140
1245,1,0,0.357,2.142,760
1246,1,0,0.713,4.278,302
1247,1,0,0.344,2.064,790
1248,1,1,0.549,0.294,1390
1249,1,0,0.865,5.19,160
1250,1,0,0.925,5.55,96
1251,1,1,0.645,0.87,1192
1252,1,0,0.767,4.602,251
1253,1,0,0.08,0.48,1323
1254,1,0,0.219,1.314,1034
1255,1,1,0.264,-1.416,1735
1256,1,1,0.38,-0.72,1609
1257,1,1,0.111,-2.334,1886
1258,1,0,0.58,3.48,439
1259,1,0,0.927,5.562,95
1260,1,0,0.477,2.862,553
1261,1,0,0.811,4.866,202
1262,1,1,0.283,-1.302,1715
1263,1,0,0.579,3.474,440
1264,1,0,0.914,5.484,112
1265,1,1,0.038,-2.772,1966
1266,1,1,0.175,-1.95,1832
1267,1,0,0.269,1.614,935
1268,1,0,0.75,4.5,266
1269,1,1,0.064,-2.616,1927
1270,1,1,0.617,0.702,1243
1271,1,0,0.742,4.452,272
1272,1,0,0.935,5.61,88
1273,1,1,0.9,2.4,692
1274,1,0,0.947,5.682,68
1275,1,1,0.039,-2.766,1964
1276,1,0,0.918,5.508,108
1277,1,0,0.896,5.376,130
1278,1,0,0.116,0.696,1244
1279,1,0,0.193,1.158,1080
1280,1,1,0.881,2.286,715
1281,1,1,0.307,-1.158,1694
1282,1,0,0.462,2.772,581
1283,1,0,0.271,1.626,931
1284,1,1,0.318,-1.092,1678
1285,1,0,0.461,2.766,585
1286,1,0,0.559,3.354,458
1287,1,0,0.205,1.23,1056
1288,1,1,0.4,-0.6,1584
1289,1,0,0.361,2.166,753
1290,1,0,0.089,0.534,1306
1291,1,1,0.657,0.942,1168
1292,1,0,0.491,2.946,525
1293,1,0,0.103,0.618,1281
1294,1,1,0.957,2.742,591
1295,1,0,0.686,4.116,331
1296,1,0,0.346,2.076,786
1297,1,1,0.104,-2.376,1894
1298,1,1,0.572,0.432,1337
1299,1,1,0.424,-0.456,1562
1300,1,1,0.283,-1.302,1715
1301,1,1,0.391,-0.654,1598
1302,1,0,0.323,1.938,837
1303,1,0,0.124,0.744,1225
1304,1,0,0.953,5.718,60
1305,1,1,0.907,2.442,684
1306,1,1,0.497,-0.018,1490
1307,1,1,0.313,-1.122,1686
1308,1,1,0.552,0.312,1381
1309,1,0,0.723,4.338,296
1310,1,1,0.118,-2.292,1882
1311,1,1,0.213,-1.722,1790
1312,1,1,0.016,-2.904,1989
1313,1,1,0.284,-1.296,1713
1314,1,1,0.483,-0.102,1508
1315,1,0,0.023,0.138,1438
1316,1,0,0.217,1.302,1040
1317,1,0,0.375,2.25,723
1318,1,1,0.103,-2.382,1897
1319,1,1,0.274,-1.356,1725
1320,1,1,0.587,0.522,1314
1321,1,1,0.068,-2.592,1923
1322,1,0,0.508,3.048,506
1323,1,1,0.853,2.118,772
1324,1,0,0.667,4.002,358
1325,1,1,0.855,2.13,766
1326,1,0,0.773,4.638,247
1327,1,0,0.94,5.64,75
1328,1,0,0.171,1.026,1132
1329,1,1,0.499,-0.006,1487
1330,1,1,0.179,-1.926,1828
1331,1,0,0.115,0.69,1248
1332,1,0,0.836,5.016,183
1333,1,0,0.84,5.04,179
1334,1,1,0.456,-0.264,1535
1335,1,0,0.94,5.64,75
1336,1,0,0.425,2.55,646
1337,1,1,0.354,-0.876,1636
1338,1,1,0.541,0.246,1403
1339,1,0,0.997,5.982,3
1340,1,0,0.156,0.936,1171
1341,1,1,0.464,-0.216,1521
1342,1,1,0.283,-1.302,1715
1343,1,0,0.893,5.358,133
1344,1,0,0.954,5.724,57
1345,1,0,0.279,1.674,915
1346,1,0,0.65,3.9,376
1347,1,0,0.76,4.56,261
1348,1,0,0.922,5.532,97
1349,1,1,0.972,2.832,564
1350,1,0,0.629,3.774,398
1351,1,0,0.091,0.546,1301
1352,1,0,0.687,4.122,330
1353,1,0,0.934,5.604,90
1354,1,0,0.933,5.598,91
1355,1,1,0.035,-2.79,1973
1356,1,0,0.812,4.872,200
1357,1,1,0.672,1.032,1128
1358,1,1,0.668,1.008,1139
1359,1,0,0.531,3.186,479
1360,1,0,0.306,1.836,869
1361,1,0,0.168,1.008,1139
1362,1,1,0.06,-2.64,1934
1363,1,1,0.205,-1.77,1800
1364,1,0,0.128,0.768,1222
1365,1,0,0.801,4.806,220
1366,1,1,0.261,-1.434,1738
1367,1,1,0.931,2.586,634
1368,1,0,0.521,3.126,489
1369,1,0,0.722,4.332,297
1370,1,1,0.504,0.024,1480
1371,1,1,0.928,2.568,638
1372,1,1,0.842,2.052,796
1373,1,1,0.645,0.87,1192
1374,1,1,0.673,1.038,1125
1375,1,1,0.601,0.606,1288
1376,1,0,0.583,3.498,436
1377,1,1,0.867,2.202,744
1378,1,1,0.136,-2.184,1860
1379,1,1,0.372,-0.768,1619
1380,1,0,0.509,3.054,504
1381,1,1,0.378,-0.732,1612
1382,1,1,0.774,1.644,923
1383,1,1,0.723,1.338,1022
1384,1,0,0.497,2.982,515
1385,1,0,0.422,2.532,653
1386,1,0,0.631,3.786,395
1387,1,0,0.332,1.992,820
1388,1,1,0.059,-2.646,1936
1389,1,1,0.729,1.374,1007
1390,1,1,0.909,2.454,678
1391,1,1,0.711,1.266,1046
1392,1,0,0.452,2.712,606
1393,1,1,0.524,0.144,1437
1394,1,1,0.264,-1.416,1735
1395,1,0,0.623,3.738,402
1396,1,0,0.42,2.52,659
1397,1,0,0.18,1.08,1104
1398,1,0,0.24,1.44,990
1399,1,1,0.497,-0.018,1490
1400,1,0,0.673,4.038,347
1401,1,1,0.762,1.572,947
1402,1,0,0.884,5.304,140
1403,1,0,0.581,3.486,438
1404,1,0,0.303,1.818,877
1405,1,1,0.756,1.536,960
1406,1,0,0.727,4.362,292
1407,1,1,0.508,0.048,1466
1408,1,1,0.459,-0.246,1529
1409,1,1,0.063,-2.622,1929
1410,1,0,0.087,0.522,1312
1411,1,0,0.68,4.08,339
1412,1,0,0.478,2.868,550
1413,1,1,0.325,-1.05,1665
1414,1,1,0.532,0.192,1425
1415,1,0,0.517,3.102,492
1416,1,1,0.058,-2.652,1939
1417,1,0,0.105,0.63,1273
1418,1,1,0.033,-2.802,1975
1419,1,0,0.837,5.022,180
1420,1,1,0.051,-2.694,1947
1421,1,1,0.696,1.176,1071
1422,1,0,0.844,5.064,174
1423,1,1,0.466,-0.204,1519
1424,1,0,0.025,0.15,1436
1425,1,0,0.177,1.062,1116
1426,1,0,0.938,5.628,80
1427,1,0,0.478,2.868,550
1428,1,0,0.007,0.042,1472
1429,1,1,0.205,-1.77,1800
1430,1,0,0.224,1.344,1020
1431,1,1,0.805,1.83,871
1432,1,0,0.489,2.934,530
1433,1,0,0.503,3.018,512
1434,1,1,0.722,1.332,1028
1435,1,1,0.267,-1.398,1734
1436,1,0,0.103,0.618,1281
1437,1,1,0.667,1.002,1146
1438,1,1,0.648,0.888,1186
1439,1,1,0.327,-1.038,1663
1440,1,0,0.28,1.68,913
1441,1,1,0.962,2.772,581
1442,1,1,0.551,0.306,1385
1443,1,0,0.115,0.69,1248
1444,1,1,0.669,1.014,1136
1445,1,1,0.441,-0.354,1551
1446,1,0,0.937,5.622,83
1447,1,0,0.164,0.984,1156
1448,1,0,0.507,3.042,508
1449,1,1,0.933,2.598,630
1450,1,1,0.498,-0.012,1489
1451,1,1,0.97,2.82,571
1452,1,0,0.186,1.116,1089
1453,1,0,0.764,4.584,257
1454,1,1,0.094,-2.436,1906
1455,1,0,0.837,5.022,180
1456,1,1,0.241,-1.554,1762
1457,1,1,0.484,-0.096,1504
1458,1,1,0.117,-2.298,1883
1459,1,1,0.244,-1.536,1760
1460,1,1,0.831,1.986,823
1461,1,1,0.909,2.454,678
1462,1,0,0.729,4.374,289
1463,1,0,0.512,3.072,499
1464,1,1,0.326,-1.044,1664
1465,1,1,0.049,-2.706,1951
1466,1,0,0.155,0.93,1175
1467,1,1,0.165,-2.01,1842
1468,1,0,0.102,0.612,1285
1469,1,0,0.678,4.068,341
1470,1,0,0.174,1.044,1123
1471,1,0,0.673,4.038,347
1472,1,0,0.968,5.808,35
1473,1,0,0.98,5.88,24
1474,1,0,0.274,1.644,923
1475,1,1,0.036,-2.784,1970
1476,1,0,0.521,3.126,489
1477,1,0,0.533,3.198,474
1478,1,1,0.662,0.972,1160
1479,1,1,0.012,-2.928,1990
1480,1,0,0.065,0.39,1357
1481,1,1,0.973,2.838,562
1482,1,0,0.413,2.478,670
1483,1,0,0.266,1.596,939
1484,1,0,0.515,3.09,496
1485,1,0,0.92,5.52,101
1486,1,1,0.094,-2.436,1906
1487,1,1,0.652,0.912,1181
1488,1,0,0.726,4.356,293
1489,1,1,0.598,0.588,1291
1490,1,1,0.789,1.734,903
1491,1,0,0.225,1.35,1019
1492,1,1,0.63,0.78,1212
1493,1,1,0.339,-0.966,1652
1494,1,1,0.199,-1.806,1806
1495,1,1,0.496,-0.024,1492
1496,1,0,0.011,0.066,1459
1497,1,1,0.465,-0.21,1520
1498,1,0,0.732,4.392,284
1499,1,1,0.287,-1.278,1705
1500,1,0,0.909,5.454,122
1501,1,1,0.215,-1.71,1789
1502,1,1,0.472,-0.168,1515
1503,1,1,0.588,0.528,1310
1504,1,0,0.129,0.774,1217
1505,1,1,0.696,1.176,1071
1506,1,1,0.735,1.41,998
1507,1,1,0.885,2.31,711
1508,1,1,0.979,2.874,547
1509,1,1,0.324,-1.056,1668
1510,1,0,0.018,0.108,1446
1511,1,1,0.383,-0.702,1604
1512,1,0,0.846,5.076,170
1513,1,1,0.31,-1.14,1689
1514,1,0,0.095,0.57,1295
1515,1,1,0.309,-1.146,1690
1516,1,1,0.654,0.924,1178
1517,1,1,0.896,2.376,695
1518,1,1,0.028,-2.832,1982
1519,1,1,0.805,1.83,871
1520,1,0,0.571,3.426,444
1521,1,1,0.853,2.118,772
1522,1,1,0.713,1.278,1042
1523,1,0,0.641,3.846,386
1524,1,1,0.036,-2.784,1970
1525,1,0,0.586,3.516,433
1526,1,1,0.873,2.238,732
1527,1,1,0.126,-2.244,1869
1528,1,1,0.971,2.826,569
1529,1,0,0.96,5.76,47
1530,1,1,0.32,-1.08,1673
1531,1,0,0.675,4.05,344
1532,1,1,0.873,2.238,732
1533,1,1,0.272,-1.368,1727
1534,1,1,0.921,2.526,655
1535,1,0,0.931,5.586,92
1536,1,1,0.657,0.942,1168
1537,1,1,0.829,1.974,828
1538,1,0,0.767,4.602,251
1539,1,0,0.361,2.166,753
1540,1,0,0.301,1.806,881
1541,1,1,0.481,-0.114,1510
1542,1,0,0.643,3.858,384
1543,1,0,0.993,5.958,9
1544,1,0,0.438,2.628,622
1545,1,1,0.022,-2.868,1985
1546,1,0,0.229,1.374,1006
1547,1,1,0.857,2.142,762
1548,1,0,0.993,5.958,9
1549,1,1,0.605,0.63,1275
1550,1,0,0.43,2.58,636
1551,1,1,0.558,0.348,1367
1552,1,1,0.602,0.612,1284
1553,1,0,0.693,4.158,325
1554,1,1,0.011,-2.934,1994
1555,1,0,0.776,4.656,245
1556,1,0,0.455,2.73,599
1557,1,0,0.069,0.414,1346
1558,1,0,0.751,4.506,264
1559,1,0,0.115,0.69,1248
1560,1,0,0.272,1.632,928
1561,1,0,0.324,1.944,834
1562,1,1,0.684,1.104,1092
1563,1,0,0.497,2.982,515
1564,1,1,0.392,-0.648,1597
1565,1,0,0.804,4.824,214
1566,1,1,0.685,1.11,1091
1567,1,1,0.381,-0.714,1607
1568,1,1,0.823,1.938,841
1569,1,0,0.081,0.486,1321
1570,1,0,0.094,0.564,1296
1571,1,0,0.763,4.578,258
1572,1,1,0.992,2.952,523
1573,1,0,0.512,3.072,499
1574,1,0,0.936,5.616,87
1575,1,0,0.561,3.366,457
1576,1,1,0.11,-2.34,1887
1577,1,1,0.14,-2.16,1854
1578,1,1,0.419,-0.486,1567
1579,1,1,0.27,-1.38,1733
1580,1,1,0.695,1.17,1075
1581,1,1,0.43,-0.42,1561
1582,1,1,0.965,2.79,575
1583,1,0,0.792,4.752,227
1584,1,1,0.773,1.638,927
1585,1,1,0.959,2.754,589
1586,1,1,0.058,-2.652,1939
1587,1,1,0.082,-2.508,1914
1588,1,0,0.891,5.346,135
1589,1,0,0.511,3.066,501
1590,1,0,0.096,0.576,1294
1591,1,1,0.041,-2.754,1963
1592,1,0,0.617,3.702,409
1593,1,0,0.312,1.872,861
1594,1,0,0.803,4.818,215
1595,1,0,0.241,1.446,987
1596,1,1,0.983,2.898,540
1597,1,0,0.425,2.55,646
1598,1,0,0.779,4.674,240
1599,1,1,0.409,-0.546,1578
1600,1,0,0.691,4.146,327
1601,1,0,0.91,5.46,120
1602,1,0,0.358,2.148,759
1603,1,0,0.603,3.618,424
1604,1,1,0.344,-0.936,1647
1605,1,1,0.012,-2.928,1990
1606,1,1,0.804,1.824,874
1607,1,1,0.611,0.666,1260
1608,1,0,0.119,0.714,1236
1609,1,0,0.799,4.794,222
1610,1,0,0.253,1.518,964
1611,1,0,0.663,3.978,366
1612,1,1,0.19,-1.86,1816
1613,1,1,0.814,1.884,856
1614,1,1,0.231,-1.614,1772
1615,1,0,0.663,3.978,366
1616,1,1,0.929,2.574,637
1617,1,0,0.816,4.896,194
1618,1,0,0.413,2.478,670
1619,1,1,0.131,-2.214,1864
1620,1,1,0.791,1.746,896
1621,1,1,0.414,-0.516,1572
1622,1,1,0.295,-1.23,1701
1623,1,1,0.515,0.09,1452
1624,1,1,0.209,-1.746,1795
1625,1,1,0.325,-1.05,1665
1626,1,1,0.691,1.146,1085
1627,1,1,0.276,-1.344,1721
1628,1,1,0.55,0.3,1389
1629,1,0,0.452,2.712,606
1630,1,0,0.363,2.178,749
