Object,qid,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,Score,Rank
499,1,1,0.258,0.056,0.912,0.203,0.529,0.996,0.67,0.896,1,0.332,0.056,0.213,0.436,0.529,1.483,792
500,1,1,0.873,0.67,0.041,0.457,0.179,0.247,0.986,0.254,0,0.778,0.761,0.321,0.203,0.927,-6.413,1791
501,1,1,0.257,0.465,0.38,0.862,0.434,0.775,0.251,0.858,0,0.27,0.791,0.182,0.853,0.923,-4.057,1556
502,1,0,0.812,0.947,0.523,0.996,0.445,0.34,0.893,0.638,1,0.398,0.265,0.393,0.534,0.164,7.514,131
503,1,1,0.309,0.626,0.82,0.073,0.654,0.407,0.752,0.306,0,0.846,0.437,0.273,0.012,0.731,2.216,676
504,1,1,0.605,0.776,0.439,0.396,0.487,0.816,0.923,0.139,1,0.03,0.138,0.654,0.814,0.683,-1.846,1286
505,1,1,0.546,0.38,0.312,0.044,0.435,0.026,0.611,0.889,1,0.165,0.803,0.206,0.119,0.627,-2.378,1358
506,1,0,0.991,0.041,0.552,0.685,0.932,0.468,0.846,0.62,0,0.439,0.317,0.934,0.516,0.337,5.543,291
507,1,0,0.42,0.052,0.298,0.023,0.109,0.485,0.548,0.061,0,0.007,0.146,0.373,0.283,0.567,-5.636,1728
508,1,0,0.954,0.744,0.164,0.985,0.748,0.261,0.56,0.638,0,0.157,0.561,0.117,0.01,0.222,12.466,10
509,1,1,0.645,0.566,0.791,0.592,0.214,0.305,0.006,0.348,1,0.039,0.441,0.102,0.19,0.768,0.813,886
510,1,1,0.061,0.365,0.966,0.632,0.773,0.921,0.662,0.964,0,0.171,0.346,0.755,0.201,0.077,10.796,33
511,1,1,0.548,0.959,0.443,0.933,0.575,0.551,0.123,0.284,1,0.349,0.01,0.933,0.334,0.756,2.47,639
512,1,1,0.101,0.08,0.954,0.184,0.369,0.685,0.305,0.941,1,0.466,0.778,0.216,0.691,0.907,-7.787,1880
513,1,0,0.803,0.928,0.204,0.037,0.203,0.874,0.634,0.726,0,0.397,0.779,0.095,0.695,0.895,-8.515,1917
514,1,1,0.404,0.961,0.167,0.995,0.675,0.789,0.236,0.68,1,0.626,0.457,0.21,0.918,0.453,3.501,506
515,1,1,0.772,0.09,0.817,0.415,0.823,0.531,0.934,0.882,0,0.577,0.992,0.484,0.46,0.079,7.231,150
516,1,0,0.068,0.984,0.122,0.418,0.511,0.806,0.665,0.918,1,0.813,0.194,0.284,0.446,0.841,-4.208,1568
517,1,0,0.31,0.102,0.533,0.872,0.821,0.449,0.668,0.342,1,0.742,0.091,0.003,0.787,0.317,5.754,273
518,1,1,0.045,0.325,0.331,0.102,0.745,0.892,0.733,0.552,0,0.592,0.421,0.093,0.851,0.996,-5.685,1735
519,1,0,0.535,0.76,0.835,0.763,0.283,0.918,0.171,0.136,1,0.533,0.985,0.977,0.719,0.962,-8.809,1927
520,1,1,0.665,0.774,0.009,0.441,0.64,0.24,0.962,0.741,0,0.198,0.5,0.774,0.279,0.079,6.116,234
521,1,0,0.127,0.776,0.719,0.692,0.721,0.289,0.002,0.341,0,0.248,0.036,0.729,0.204,0.121,10.378,41
522,1,0,0.805,0.855,0.351,0.568,0.076,0.439,0.508,0.121,0,0.16,0.693,0.814,0.089,0.338,-0.301,1070
523,1,0,0.507,0.257,0.999,0.281,0.395,0.353,0.063,0.404,0,0.423,0.361,0.097,0.23,0.439,3.279,537
524,1,1,0.817,0.353,0.22,0.169,0.284,0.24,0.795,0.105,0,0.831,0.513,0.891,0.872,0.498,-7.847,1886
525,1,0,0.347,0.38,0.434,0.92,0.053,0.544,0.485,0.397,0,0.447,0.157,0.927,0.007,0.515,-1.558,1252
526,1,0,0.945,0.541,0.456,0.449,0.988,0.861,0.904,0.177,1,0.582,0.384,0.574,0.7,0.216,6.19,227
527,1,0,0.18,0.647,0.734,0.542,0.399,0.043,0.115,0.269,1,0.796,0.966,0.937,0.334,0.477,-3.741,1528
528,1,1,0.654,0.079,0.032,0.723,0.972,0.061,0.9,0.839,1,0.428,0.326,0.79,0.256,0.43,4.434,405
529,1,1,0.037,0.794,0.866,0.482,0.608,0.189,0.615,0.496,1,0.448,0.176,0.155,0.047,0.509,7.041,161
530,1,0,0.614,0.769,0.636,0.22,0.889,0.578,0.89,0.172,1,0.215,0.368,0.338,0.123,0.91,2.468,641
531,1,1,0.831,0.057,0.095,0.043,0.128,0.852,0.527,0.125,1,0.814,0.789,0.934,0.68,0.296,-10.383,1968
532,1,0,0.65,0.057,0.759,0.89,0.348,0.169,0.951,0.695,0,0.529,0.974,0.285,0.544,0.711,-2.513,1375
533,1,1,0.085,0.233,0.301,0.675,0.785,0.505,0.426,0.74,0,0.847,0.013,0.443,0.076,0.969,0.723,899
534,1,1,0.216,0.298,0.066,0.675,0.657,0.466,0.308,0.386,1,0.297,0.976,0.941,0.59,0.74,-6.101,1771
535,1,0,0.95,0.119,0.728,0.206,0.552,0.071,0.993,0.85,0,0.837,0.078,0.666,0.755,0.623,-2.858,1409
536,1,0,0.178,0.748,0.035,0.482,0.425,0.788,0.404,0.777,0,0.417,0.417,0.805,0.268,0.23,0.455,941
537,1,0,0.085,0.133,0.067,0.077,0.926,0.878,0.239,0.677,1,0.852,0.887,0.603,0.061,0.216,0.24,983
538,1,0,0.056,0.797,0.532,0.783,0.013,0.292,0.555,0.082,1,0.482,0.607,0.735,0.34,0.76,-7.349,1855
539,1,0,0.816,0.443,0.926,0.247,0.825,0.392,0.432,0.135,0,0.889,0.091,0.775,0.47,0.241,6.239,221
540,1,1,0.394,0.401,0.76,0.556,0.386,0.809,0.663,0.158,1,0.622,0.97,0.95,0.977,0.394,-5.108,1672
541,1,0,0.706,0.745,0.423,0.848,0.186,0.967,0.963,0.963,0,0.321,0.416,0.157,0.145,0.345,4.746,358
542,1,1,0.502,0.256,0.052,0.919,0.106,0.933,0.568,0.841,1,0.28,0.675,0.819,0.559,0.151,-2.531,1377
543,1,0,0.472,0.322,0.44,0.647,0.066,0.881,0.494,0.507,1,0.306,0.112,0.638,0.128,0.91,-6.675,1809
544,1,1,0.684,0.052,0.845,0.013,0.378,0.147,0.151,0.548,1,0.249,0.014,0.668,0.158,0.96,-4.853,1645
545,1,0,0.709,0.485,0.06,0.427,0.588,0.101,0.155,0.491,1,0.057,0.981,0.921,0.32,0.433,-2.543,1380
546,1,0,0.53,0.953,0.61,0.471,0.365,0.881,0.85,0.231,1,0.923,0.297,0.69,0.74,0.292,-0.753,1143
547,1,1,0.843,0.685,0.631,0.569,0.098,0.016,0.898,0.66,1,0.341,0.913,0.009,0.839,0.649,-4.052,1555
548,1,0,0.566,0.856,0.475,0.292,0.157,0.804,0.491,0.232,1,0.636,0.002,0.174,0.155,0.483,0.051,1014
549,1,1,0.609,0.225,0.426,0.707,0.024,0.702,0.564,0.962,1,0.852,0.872,0.284,0.984,0.961,-12.614,1990
550,1,1,0.183,0.949,0.533,0.263,0.814,0.836,0.053,0.825,0,0.384,0.888,0.672,0.723,0.02,5.865,259
551,1,1,0.615,0.721,0.308,0.562,0.582,0.263,0.128,0.501,0,0.388,0.489,0.602,0.843,0.252,2.869,584
552,1,0,0.314,0.506,0.459,0.452,0.204,0.968,0.705,0.193,0,0.809,0.684,0.664,0.211,0.998,-9.079,1939
553,1,0,0.404,0.949,0.429,0.38,0.565,0.809,0.237,0.899,0,0.12,0.731,0.039,0.235,0.947,-0.313,1074
554,1,0,0.01,0.713,0.158,0.705,0.879,0.499,0.725,0.051,0,0.442,0.956,0.771,0.674,0.035,4.55,387
555,1,0,0.322,0.192,0.883,0.967,0.751,0.636,0.652,0.748,1,0.051,0.506,0.895,0.52,0.57,2.597,616
556,1,0,0.462,0.485,0.492,0.678,0.471,0.108,0.884,0.61,1,0.499,0.585,0.576,0.644,0.976,-6.59,1804
557,1,1,0.271,0.145,0.477,0.426,0.568,0.117,0.081,0.212,0,0.754,0.178,0.091,0.424,0.212,5.049,334
558,1,0,0.409,0.985,0.299,0.333,0.513,0.796,0.153,0.851,1,0.809,0.653,0.295,0.802,0.673,-4.733,1630
559,1,1,0.341,0.301,0.75,0.568,0.921,0.678,0.782,0.803,1,0.547,0.22,0.283,0.173,0.83,4.584,383
560,1,1,0.634,0.127,0.42,0.69,0.627,0.942,0.075,0.935,0,0.628,0.797,0.752,0.385,0.666,-1.191,1202
561,1,0,0.435,0.857,0.239,0.225,0.423,0.84,0.563,0.23,0,0.422,0.561,0.588,0.03,0.484,-0.117,1044
562,1,0,0.063,0.805,0.507,0.606,0.708,0.927,0.805,0.817,1,0.856,0.911,0.595,0.806,0.193,0.894,871
563,1,1,0.239,0.94,0.361,0.538,0.351,0.574,0.716,0.955,0,0.522,0.195,0.549,0.79,0.494,-0.773,1147
564,1,0,0.806,0.517,0.687,0.63,0.97,0.053,0.395,0.297,1,0.175,0.916,0.855,0.07,0.941,1.483,793
565,1,1,0.391,0.589,0.22,0.008,0.4,0.452,0.892,0.995,1,0.393,0.858,0.868,0.912,0.311,-7.033,1835
566,1,0,0.425,0.283,0.034,0.361,0.781,0.546,0.209,0.836,1,0.015,0.867,0.541,0.394,0.389,-0.205,1054
567,1,1,0.052,0.634,0.966,0.25,0.845,0.29,0.576,0.246,0,0.178,0.438,0.886,0.194,0.921,1.176,833
568,1,0,0.122,0.922,0.981,0.817,0.3,0.466,0.881,0.461,0,0.825,0.293,0.121,0.343,0.305,6.241,220
569,1,1,0.83,0.157,0.751,0.141,0.023,0.657,0.044,0.815,1,0.41,0.234,0.739,0.118,0.63,-5.298,1687
570,1,1,0.237,0.095,0.635,0.069,0.921,0.722,0.234,0.388,1,0.558,0.316,0.531,0.5,0.952,-3.354,1481
571,1,0,0.748,0.633,0.316,0.036,0.02,0.572,0.37,0.578,1,0.07,0.269,0.981,0.781,0.39,-8.637,1922
572,1,1,0.209,0.656,0.747,0.949,0.137,0.38,0.075,0.216,1,0.821,0.837,0.003,0.699,0.622,-2.391,1359
573,1,0,0.167,0.251,0.422,0.76,0.841,0.516,0.995,0.403,0,0.603,0.478,0.849,0.208,0.79,0.009,1022
574,1,0,0.323,0.693,0.704,0.045,0.93,0.157,0.084,0.714,1,0.041,0.64,0.597,0.056,0.268,6.716,193
575,1,0,0.661,0.467,0.066,0.876,0.425,0.457,0.417,0.067,1,0.452,0.615,0.236,0.915,0.377,-1.421,1234
576,1,0,0.875,0.497,0.773,0.918,0.349,0.839,0.418,0.039,1,0.428,0.716,0.346,0.133,0.018,8.18,100
577,1,1,0.919,0.186,0.65,0.009,0.85,0.779,0.822,0.869,0,0.191,0.658,0.772,0.081,0.055,8.142,104
578,1,1,0.05,0.869,0.681,0.27,0.271,0.774,0.289,0.642,0,0.786,0.691,0.619,0.071,0.583,-1.815,1282
579,1,0,0.793,0.238,0.395,0.563,0.82,0.58,0.273,0.437,0,0.14,0.276,0.381,0.363,0.617,4.278,419
580,1,0,0.706,0.637,0.192,0.088,0.691,0.48,0.638,0.564,1,0.668,0.537,0.366,0.507,0.526,-1.765,1276
581,1,1,0.323,0.068,0.114,0.075,0.231,0.504,0.268,0.659,1,0.423,0.751,0.53,0.088,0.381,-5.478,1711
582,1,0,0.066,0.465,0.561,0.321,0.41,0.526,0.991,0.487,1,0.429,0.929,0.902,0.461,0.289,-3.972,1548
583,1,1,0.987,0.399,0.043,0.962,0.374,0.955,0.916,0.333,1,0.922,0.9,0.756,0.449,0.759,-5.51,1713
584,1,1,0.729,0.605,0.48,0.004,0.821,0.418,0.804,0.724,0,0.177,0.903,0.847,0.843,0.246,1.297,815
585,1,1,0.285,0.656,0.494,0.557,0.725,0.016,0.317,0.214,0,0.847,0.481,0.434,0.571,0.42,3.621,496
586,1,0,0.279,0.752,0.261,0.204,0.832,0.271,0.465,0.342,0,0.884,0.218,0.443,0.912,0.791,-3.466,1493
587,1,1,0.758,0.573,0.736,0.376,0.214,0.088,0.858,0.806,0,0.677,0.067,0.299,0.54,0.205,3.698,486
588,1,0,0.983,0.189,0.22,0.488,0.634,0.737,0.209,0.884,0,0.933,0.549,0.455,0.807,0.95,-6.675,1810
589,1,1,0.68,0.96,0.865,0.526,0.9,0.1,0.718,0.014,0,0.395,0.247,0.595,0.884,0.364,8.359,89
590,1,1,0.334,0.495,0.179,0.435,0.513,0.652,0.135,0.687,0,0.258,0.407,0.733,0.723,0.721,-4.32,1584
591,1,0,0.709,0.333,0.54,0.424,0.716,0.91,0.359,0.93,0,0.705,0.9,0.82,0.823,0.67,-4.348,1591
592,1,0,0.091,0.07,0.17,0.73,0.417,0.654,0.898,0.54,1,0.752,0.633,0.382,0.907,0.729,-8.864,1931
593,1,1,0.621,0.823,0.94,0.051,0.816,0.914,0.688,0.992,1,0.512,0.063,0.032,0.202,0.141,12.125,13
594,1,0,0.457,0.464,0.093,0.293,0.691,0.452,0.96,0.861,0,0.885,0.97,0.718,0.2,0.046,2.041,705
595,1,1,0.672,0.847,0.948,0.206,0.279,0.172,0.169,0.151,1,0.089,0.858,0.491,0.162,0.179,4.181,428
596,1,0,0.867,0.196,0.192,0.192,0.888,0.092,0.234,0.58,0,0.127,0.311,0.739,0.064,0.003,8.437,88
597,1,0,0.273,0.666,0.455,0.377,0.269,0.962,0.188,0.65,0,0.73,0.166,0.231,0.97,0.053,0.677,906
598,1,1,0.363,0.158,0.866,0.667,0.591,0.755,0.025,0.193,0,0.393,0.713,0.456,0.385,0.151,6.725,190
599,1,1,0.144,0.9,0.873,0.615,0.787,0.267,0.492,0.011,1,0.72,0.797,0.19,0.517,0.813,2.119,690
600,1,1,0.508,0.653,0.586,0.215,0.851,0.961,0.483,0.424,0,0.473,0.119,0.382,0.159,0.756,4.718,361
601,1,1,0.553,0.72,0.317,0.09,0.995,0.89,0.876,0.057,1,0.285,0.752,0.923,0.409,0.49,1.471,796
602,1,1,0.506,0.646,0.385,0.135,0.963,0.852,0.906,0.961,1,0.168,0.683,0.625,0.439,0.958,-1.865,1289
603,1,0,0.711,0.013,0.562,0.372,0.358,0.121,0.691,0.423,1,0.402,0.752,0.067,0.322,0.587,-2.659,1389
604,1,1,0.237,0.928,0.883,0.342,0.026,0.51,0.654,0.504,1,0.018,0.845,0.693,0.752,0.511,-5.453,1705
605,1,1,0.956,0.065,0.257,0.331,0.969,0.364,0.688,0.923,1,0.337,0.137,0.054,0.303,0.64,5.264,313
606,1,1,0.375,0.833,0.809,0.819,0.944,0.054,0.373,0.545,0,0.078,0.89,0.173,0.812,0.339,10.052,46
607,1,0,0.737,0.266,0.115,0.926,0.621,0.679,0.234,0.013,0,0.442,0.843,0.727,0.44,0.24,2.651,609
608,1,0,0.23,0.411,0.922,0.763,0.399,0.683,0.97,0.034,1,0.04,0.593,0.095,0.598,0.268,4.277,420
609,1,1,0.66,0.86,0.453,0.244,0.219,0.295,0.525,0.64,0,0.113,0.565,0.454,0.263,0.833,-3.26,1465
610,1,1,0.912,0.885,0.175,0.093,0.54,0.037,0.489,0.577,0,0.174,0.03,0.168,0.386,0.227,6.734,189
611,1,1,0.742,0.983,0.933,0.595,0.221,0.923,0.885,0.895,0,0.912,0.69,0.847,0.004,0.196,5.088,330
612,1,0,0.911,0.778,0.118,0.865,0.483,0.175,0.28,0.752,1,0.288,0.741,0.564,0.997,0.029,2.453,647
613,1,0,0.021,0.022,0.565,0.067,0.686,0.897,0.785,0.356,1,0.367,0.056,0.62,0.521,0.579,-3.214,1456
614,1,1,0.952,0.783,0.454,0.908,0.899,0.241,0.139,0.695,1,0.106,0.279,0.995,0.008,0.832,6.21,225
615,1,1,0.464,0.816,0.99,0.575,0.187,0.985,0.575,0.542,0,0.412,0.317,0.019,0.298,0.909,0.65,911
616,1,1,0.47,0.71,0.533,0.982,0.083,0.791,0.634,0.346,1,0.304,0.38,0.275,0.356,0.244,3.874,457
617,1,0,0.92,0.018,0.034,0.087,0.581,0.59,0.58,0.916,1,0.6,0.396,0.568,0.25,0.695,-5.585,1720
618,1,0,0.204,0.06,0.573,0.721,0.456,0.577,0.24,0.89,0,0.913,0.323,0.251,0.849,0.296,0.041,1018
619,1,1,0.658,0.538,0.535,0.061,0.415,0.321,0.276,0.128,1,0.809,0.729,0.166,0.394,0.383,-0.744,1141
620,1,1,0.228,0.021,0.915,0.346,0.959,0.439,0.199,0.929,1,0.069,0.211,0.032,0.786,0.962,1.05,850
621,1,1,0.984,0.59,0.766,0.372,0.172,0.346,0.65,0.582,1,0.205,0.415,0.825,0.936,0.996,-9.213,1943
622,1,0,0.742,0.396,0.162,0.425,0.534,0.223,0.536,0.504,0,0.728,0.723,0.686,0.346,0.864,-5.954,1758
623,1,1,0.151,0.242,0.862,0.004,0.803,0.436,0.263,0.876,0,0.288,0.513,0.202,0.816,0.295,3.573,498
624,1,1,0.171,0.179,0.965,0.473,0.364,0.112,0.971,0.96,1,0.91,0.703,0.888,0.915,0.774,-9.052,1938
625,1,1,0.132,0.035,0.971,0.153,0.063,0.474,0.692,0.224,1,0.407,0.536,0.699,0.221,0.767,-8.345,1910
626,1,0,0.979,0.954,0.031,0.011,0.398,0.975,0.356,0.908,1,0.391,0.607,0.917,0.147,0.492,-3.947,1546
627,1,1,0.621,0.279,0.579,0.109,0.597,0.098,0.46,0.82,0,0.899,0.652,0.983,0.813,0.73,-7.141,1840
628,1,0,0.548,0.517,0.195,0.787,0.181,0.297,0.156,0.708,1,0.175,0.302,0.742,0.007,0.015,3.763,477
629,1,0,0.211,0.624,0.069,0.488,0.166,0.828,0.958,0.15,1,0.149,0.942,0.556,0.212,0.137,-2.108,1319
630,1,0,0.698,0.969,0.82,0.766,0.723,0.329,0.933,0.012,1,0.431,0.868,0.073,0.391,0.743,4.5,394
631,1,0,0.566,0.745,0.43,0.748,0.115,0.182,0.737,0.582,0,0.466,0.979,0.515,0.582,0.394,-2.802,1403
632,1,0,0.362,0.792,0.725,0.577,0.142,0.481,0.6,0.955,0,0.998,0.148,0.613,0.669,0.35,-1.432,1237
633,1,0,0.352,0.365,0.327,0.347,0.117,0.234,0.074,0.138,0,0.492,0.862,0.442,0.01,0.095,-0.326,1075
634,1,0,0.686,0.049,0.65,0.616,0.087,0.041,0.883,0.32,1,0.006,0.68,0.404,0.118,0.206,0.751,894
635,1,0,0.986,0.168,0.324,0.253,0.314,0.512,0.349,0.088,0,0.153,0.854,0.981,0.066,0.776,-6.705,1813
636,1,0,0.996,0.214,0.189,0.814,0.018,0.722,0.907,0.46,1,0.071,0.907,0.526,0.9,0.275,-5.577,1719
637,1,0,0.155,0.196,0.402,0.37,0.755,0.645,0.933,0.813,0,0.351,0.438,0.125,0.722,0.789,-2.11,1321
638,1,1,0.121,0.039,0.499,0.785,0.61,0.46,0.884,0.932,0,0.215,0.142,0.072,0.15,0.994,1.546,782
639,1,1,0.099,0.29,0.143,0.69,0.57,0.599,0.613,0.693,0,0.084,0.064,0.374,0.824,0.762,-1.806,1280
640,1,1,0.54,0.452,0.034,0.747,0.079,0.477,0.358,0.225,1,0.484,0.127,0.62,0.058,0.455,-1.572,1258
641,1,0,0.26,0.103,0.545,0.036,0.27,0.814,0.022,0.358,1,0.596,0.582,0.859,0.707,0.222,-7.24,1848
642,1,1,0.739,0.682,0.117,0.247,0.966,0.361,0.916,0.691,1,0.585,0.02,0.658,0.158,0.286,7.375,137
643,1,1,0.374,0.781,0.888,0.788,0.188,0.312,0.576,0.633,0,0.332,0.081,0.14,0.817,0.106,6.851,177
644,1,0,0.969,0.946,0.333,0.617,0.517,0.421,0.297,0.226,0,0.852,0.35,0.485,0.254,0.14,6.999,165
645,1,1,0.721,0.003,0.122,0.83,0.581,0.051,0.71,0.012,0,0.896,0.166,0.192,0.651,0.82,-1.614,1263
646,1,0,0.564,0.755,0.282,0.441,0.848,0.399,0.99,0.369,0,0.256,0.93,0.825,0.777,0.141,3.309,532
647,1,1,0.991,0.689,0.856,0.897,0.614,0.398,0.38,0.739,0,0.96,0.372,0.707,0.874,0.438,4.484,398
648,1,1,0.842,0.153,0.417,0.008,0.733,0.418,0.05,0.601,1,0.786,0.694,0.986,0.026,0.981,-6.357,1789
649,1,1,0.254,0.677,0.19,0.688,0.511,0.054,0.719,0.211,0,0.968,0.471,0.719,0.921,0.981,-7.791,1881
650,1,0,0.337,0.821,0.348,0.108,0.755,0.392,0.411,0.753,1,0.924,0.055,0.247,0.449,0.748,-1.107,1190
651,1,0,0.911,0.963,0.845,0.791,0.62,0.31,0.745,0.336,1,0.198,0.668,0.947,0.676,0.526,2.418,651
652,1,1,0.357,0.439,0.328,0.719,0.508,0.2,0.751,0.372,0,0.493,0.948,0.788,0.845,0.63,-4.489,1606
653,1,0,0.345,0.957,0.332,0.829,0.682,0.726,0.665,0.826,1,0.613,0.628,0.509,0.052,0.141,8.038,108
654,1,1,0.751,0.227,0.441,0.326,0.239,0.532,0.68,0.888,0,0.855,0.451,0.847,0.662,0.15,-2.294,1346
655,1,0,0.286,0.92,0.46,0.945,0.623,0.18,0.448,0.967,1,0.896,0.843,0.622,0.924,0.564,-1.942,1301
656,1,1,0.683,0.913,0.238,0.9,0.511,0.14,0.596,0.47,1,0.546,0.681,0.032,0.742,0.554,2.154,685
657,1,1,0.169,0.416,0.197,0.611,0.672,0.187,0.375,0.795,1,0.04,0.527,0.32,0.065,0.128,7.603,128
658,1,1,0.409,0.036,0.373,0.86,0.723,0.727,0.361,0.269,1,0.765,0.769,0.075,0.5,0.503,2.281,668
659,1,1,0.503,0.025,0.444,0.182,0.239,0.078,0.58,0.927,1,0.02,0.381,0.369,0.121,0.264,0.253,982
660,1,1,0.286,0.409,0.392,0.382,0.959,0.495,0.258,0.343,0,0.405,0.977,0.913,0.309,0.007,6.859,175
661,1,0,0.609,0.899,0.135,0.089,0.925,0.851,0.292,0.147,1,0.241,0.711,0.726,0.35,0.39,1.981,716
662,1,1,0.922,0.702,0.022,0.718,0.586,0.597,0.519,0.572,1,0.17,0.886,0.066,0.486,0.016,7.636,125
663,1,0,0.558,0.751,0.225,0.176,1,0.131,0.64,0.921,0,0.568,0.601,0.533,0.61,0.658,0.448,942
664,1,0,0.309,0.233,0.386,0.165,0.871,0.991,0.834,0.834,1,0.879,0.298,0.231,0.191,0.216,4.705,364
665,1,0,0.198,0.129,0.654,0.088,0.122,0.466,0.617,0.697,0,0.058,0.4,0.812,0.559,0.709,-9.39,1947
666,1,0,0.35,0.059,0.431,0.333,0.317,0.78,0.275,0.041,0,0.103,0.642,0.563,0.131,0.232,0.077,1009
667,1,0,0.961,0.272,0.296,0.382,0.808,0.218,0.408,0.195,1,0.386,0.03,0.418,0.999,0.96,-4.217,1571
668,1,1,0.848,0.648,0.273,0.432,0.723,0.042,0.359,0.132,1,0.7,0.222,0.114,0.961,0.787,-1.075,1186
669,1,1,0.287,0.407,0.964,0.153,0.644,0.886,0.283,0.367,0,0.677,0.844,0.883,0.315,0.415,0.713,901
670,1,0,0.07,0.642,0.405,0.389,0.702,0.758,0.195,0.228,0,0.903,0.819,0.965,0.614,0.719,-5.732,1740
671,1,0,0.101,0.813,0.28,0.224,0.87,0.92,0.455,0.387,0,0.056,0.287,0.365,0.161,0.959,0.753,893
672,1,0,0.852,0.791,0.876,0.357,0.704,0.997,0.78,0.812,1,0.7,0.704,0.228,0.511,0.999,-1.563,1255
673,1,0,0.821,0.993,0.446,0.519,0.506,0.195,0.644,0.683,0,0.241,0.664,0.435,0.204,0.474,4.086,442
674,1,1,0.104,0.442,0.356,0.221,0.376,0.946,0.561,0.175,1,0.151,0.81,0.822,0.37,0.897,-9.017,1937
675,1,1,0.462,0.547,0.524,0.794,0.58,0.903,0.877,0.977,0,0.499,0.496,0.174,0.789,0.885,-0.546,1103
676,1,1,0.875,0.339,0.501,0.816,0.07,0.636,0.185,0.941,0,0.095,0.117,0.124,0.17,0.174,6.924,171
677,1,1,0.839,0.443,0.172,0.142,0.624,0.249,0.871,0.636,0,0.225,0.74,0.329,0.877,0.531,-2.036,1316
678,1,0,0.084,0.988,0.135,0.504,0.917,0.408,0.579,0.854,0,0.131,0.676,0.823,0.518,0.68,0.39,953
679,1,1,0.275,0.465,0.683,0.295,0.818,0.196,0.659,0.018,0,0.817,0.955,0.654,0.903,0.352,0.182,994
680,1,1,0.357,0.566,0.409,0.965,0.491,0.798,0.846,0.864,1,0.87,0.814,0.249,0.227,0.87,-1.23,1207
681,1,1,0.513,0.51,0.875,0.398,0.135,0.02,0.309,0.979,1,0.819,0.099,0.598,0.54,0.068,1.689,764
682,1,0,0.407,0.721,0.882,0.079,0.255,0.502,0.288,0.802,1,0.379,0.016,0.137,0.907,0.978,-7.219,1845
683,1,1,0.25,0.746,0.494,0.425,0.494,0.847,0.463,0.559,0,0.422,0.72,0.382,0.128,0.674,0.867,878
684,1,0,0.99,0.518,0.655,0.369,0.373,0.26,0.045,0.423,1,0.547,0.167,0.023,0.99,0.994,-5.848,1750
685,1,1,0.389,0.703,0.302,0.588,0.991,0.551,0.921,0.172,0,0.936,0.754,0.717,0.169,0.852,1.578,778
686,1,0,0.694,0.677,0.561,0.928,0.292,0.79,0.851,0.067,1,0.514,0.178,0.433,0.504,0.821,-1.801,1278
687,1,1,0.661,0.967,0.891,0.331,0.079,0.283,0.082,0.423,1,0.332,0.171,0.702,0.54,0.092,2.627,612
688,1,1,0.225,0.167,0.012,0.76,0.359,0.825,0.333,0.192,1,0.049,0.143,0.408,0.91,0.101,0.67,907
689,1,0,0.648,0.344,0.345,0.069,0.033,0.64,0.978,0.146,0,0.232,0.32,0.473,0.624,0.805,-10.103,1964
690,1,1,0.221,0.756,0.83,0.901,0.245,0.078,0.954,0.814,0,0.901,0.484,0.309,0.385,0.193,5.64,282
691,1,0,0.92,0.664,0.69,0.285,0.809,0.664,0.46,0.148,0,0.656,0.135,0.228,0.134,0.834,4.468,401
692,1,1,0.513,0.56,0.959,0.992,0.743,0.453,0.849,0.542,1,0.354,0.308,0.816,0.613,0.73,3.671,490
693,1,0,0.323,0.826,0.276,0.964,0.05,0.88,0.821,0.724,0,0.377,0.208,0.921,0.356,0.692,-4.214,1570
694,1,1,0.022,0.877,0.922,0.985,0.781,0.022,0.382,0.583,1,0.183,0.36,0.297,0.039,0.807,8.199,98
695,1,0,0.811,0.651,0.852,0.542,0.723,0.892,0.375,0.7,1,0.384,0.54,0.648,0.582,0.101,7.023,163
696,1,1,0.644,0.225,0.211,0.219,0.609,0.297,0.539,0.107,0,0.018,0.248,0.941,0.452,0.209,2.098,695
697,1,1,0.718,0.689,0.011,0.91,0.166,0.274,0.445,0.889,0,0.556,0.627,0.828,0.096,0.264,1.332,809
698,1,1,0.646,0.248,0.803,0.117,0.255,0.938,0.706,0.08,1,0.429,0.546,0.354,0.013,0.658,-2.174,1326
699,1,1,0.713,0.873,0.898,0.218,0.781,0.243,0.263,0.579,1,0.858,0.836,0.166,0.797,0.388,3.784,471
700,1,0,0.751,0.977,0.745,0.595,0.609,0.272,0.028,0.794,1,0.669,0.081,0.485,0.915,0.819,-0.808,1152
701,1,0,0.377,0.17,0.633,0.27,0.04,0.356,0.755,0.049,0,0.802,0.291,0.514,0.939,0.215,-5.832,1747
702,1,1,0.045,0.872,0.202,0.872,0.206,0.723,0.998,0.001,1,0.091,0.802,0.383,0.681,0.038,2.029,709
703,1,1,0.635,0.14,0.138,0.89,0.254,0.73,0.836,0.846,1,0.19,0.881,0.505,0.337,0.288,-0.376,1082
704,1,0,0.251,0.552,0.114,0.032,0.913,0.11,0.531,0.1,0,0.183,0.85,0.211,0.769,0.196,2.339,661
705,1,1,0.511,0.736,0.716,0.491,0.781,0.808,0.244,0.727,1,0.839,0.942,0.419,0.22,0.404,5.039,337
