Object,qid,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,Score,Rank
2641,2,1,0.421,0.01,0.725,0.597,0.22,0.748,0.642,0.467,0,0.247,0.598,0.082,0.817,0.048,6.071,4108
2642,2,1,0.797,0.884,0.149,0.67,0.437,0.863,0.377,0.697,1,0.897,0.846,0.372,0.354,0.959,7.0305,3180
2643,2,0,0.873,0.085,0.401,0.697,0.466,0.575,0.187,0.992,0,0.781,0.246,0.306,0.991,0.36,3.983,6243
2644,2,1,0.922,0.133,0.517,0.874,0.908,0.903,0.327,0.931,0,0.809,0.749,0.267,0.724,0.397,5.72,4460
2645,2,0,0.286,0.53,0.834,0.031,0.438,0.177,0.056,0.19,1,0.125,0.071,0.889,0.353,0.835,7.409,2865
2646,2,0,0.664,0.246,0.385,0.76,0.7,0.307,0.511,0.202,0,0.957,0.426,0.193,0.796,0.791,5.431,4770
2647,2,1,0.251,0.26,0.675,0.606,0.725,0.169,0.029,0.056,1,0.758,0.59,0.182,0.585,0.297,6.275,3918
2648,2,1,0.404,0.626,0.946,0.856,0.003,0.992,0.716,0.547,0,0.797,0.588,0.512,0.472,0.44,10.6985,746
2649,2,1,0.332,0.845,0.134,0.46,0.209,0.084,0.693,0.016,1,0.945,0.434,0.601,0.059,0.975,4.566,5681
2650,2,0,0.95,0.097,0.89,0.102,0.219,0.122,0.859,0.35,1,0.531,0.59,0.402,0.633,0.393,2.383,7690
2651,2,1,0.439,0.912,0.155,0.524,0.509,0.948,0.64,0.258,1,0.231,0.955,0.326,0.113,0.265,7.5325,2752
2652,2,1,0.605,0.835,0.192,0.473,0.121,0.55,0.94,0.203,1,0.431,0.799,0.045,0.142,0.596,5.399,4804
2653,2,0,0.215,0.568,0.261,0.559,0.467,0.364,0.746,0.198,1,0.28,0.653,0.542,0.769,0,4.2855,5973
2654,2,0,0.196,0.568,0.546,0.874,0.672,0.464,0.772,0.368,1,0.913,0.409,0.569,0.778,0.83,9.0635,1590
2655,2,1,0.201,0.086,0.441,0.016,0.963,0.893,0.674,0.413,1,0.463,0.711,0.527,0.732,0.991,6.1355,4052
2656,2,0,0.063,0.644,0.056,0.672,0.05,0.961,0.081,0.363,0,0.694,0.317,0.489,0.433,0.507,8.88,1694
2657,2,0,0.988,0.344,0.57,0.114,0.361,0.652,0.032,0.044,1,0.017,0.812,0.697,0.136,0.66,7.5735,2721
2658,2,0,0.228,0.837,0.381,0.704,0.932,0.781,0.571,0.388,1,0.538,0.683,0.442,0.906,0.313,8.5175,1932
2659,2,0,0.526,0.356,0.037,0.446,0.834,0.906,0.797,0.956,0,0.874,0.006,0.295,0.128,0.303,4.6555,5600
2660,2,0,0.371,0.967,0.742,0.36,0.861,0.153,0.405,0.917,1,0.997,0.531,0.067,0.974,0.471,1.7075,8214
2661,2,0,0.963,0.649,0.854,0.512,0.915,0.67,0.962,0.072,0,0.217,0.972,0.285,0.573,0.796,7.37,2900
2662,2,1,0.174,0.288,0.328,0.971,0.321,0.174,0.354,0.587,1,0.004,0.633,0.552,0.302,0.028,3.52,6702
2663,2,0,0.281,0.757,0.995,0.514,0.424,0.716,0.184,0.353,0,0.75,0.606,0.051,0.319,0.789,9.005,1626
2664,2,0,0.178,0.786,0.182,0.561,0.412,0.052,0.262,0.852,1,0.571,0.994,0.894,0.565,0.173,-2.694,9851
2665,2,1,0.857,0.185,0.063,0.788,0.228,0.168,0.802,0.084,1,0.066,0.918,0.927,0.56,0.457,2.99,7171
2666,2,0,0.218,0.203,0.686,0.837,0.647,0.829,0.329,0.864,0,0.672,0.584,0.742,0.056,0.889,7.3015,2953
2667,2,1,0.755,0.837,0.606,0.753,0.448,0.95,0.669,0.167,1,0.905,0.509,0.36,0.795,0.768,13.654,104
2668,2,1,0.704,0.504,0.928,0.297,0.148,0.215,0.399,0.325,1,0.854,0.819,0.666,0.697,0.198,3.524,6698
2669,2,0,0.005,0.638,0.77,0.722,0.55,0.783,0.345,0.133,0,0.105,0.469,0.779,0.272,0.681,11.2085,588
2670,2,1,0.218,0.087,0.049,0.354,0.854,0.124,0.802,0.547,0,0.113,0.759,0.408,0.973,0.693,-3.195,9905
2671,2,0,0.593,0.228,0.16,0.81,0.765,0.7,0.056,0.147,1,0.086,0.686,0.377,0.404,0.928,9.9425,1095
2672,2,0,0.237,0.652,0.392,0.116,0.773,0.916,0.117,0.18,0,0.346,0.444,0.124,0.962,0.521,7.618,2689
2673,2,1,0.634,0.13,0.935,0.946,0.619,0.988,0.373,0.477,0,0.145,0.357,0.09,0.431,0.022,12.2385,315
2674,2,1,0.691,0.752,0.934,0.676,0.864,0.662,0.953,0.51,0,0.861,0.495,0.5,0.67,0.505,7.8585,2475
2675,2,1,0.889,0.414,0.911,0.74,0.147,0.454,0.86,0.065,0,0.223,0.977,0.765,0.644,0.964,7.099,3114
2676,2,1,0.984,0.7,0.597,0.951,0.862,0.003,0.91,0.049,1,0.863,0.868,0.04,0.626,0.149,4.656,5598
2677,2,0,0.02,0.542,0.207,0.815,0.893,0.931,0.548,0.359,1,0.391,0.633,0.593,0.636,0.828,10.4415,861
2678,2,0,0.436,0.304,0.048,0.093,0.446,0.815,0.56,0.043,0,0.153,0.214,0.902,0.836,0.723,6.862,3334
2679,2,0,0.024,0.997,0.754,0.653,0.291,0.289,0.544,0.053,1,0.329,0.439,0.075,0.65,0.658,9.4205,1387
2680,2,0,0.184,0.37,0.225,0.323,0.602,0.463,0.33,0.503,1,0.446,0.307,0.143,0.163,0.631,5.0245,5201
2681,2,1,0.054,0.778,0.889,0.986,0.843,0.371,0.869,0.593,0,0.671,0.341,0.059,0.833,0.385,6.962,3240
2682,2,1,0.561,0.75,0.148,0.215,0.63,0.564,0.505,0.868,0,0.493,0.282,0.677,0.275,0.917,2.0835,7935
2683,2,1,0.861,0.115,0.547,0.576,0.715,0.398,0.396,0.129,0,0.725,0.819,0.161,0.839,0.773,4.4585,5793
2684,2,1,0.967,0.057,0.389,0.237,0.081,0.51,0.595,0.393,0,0.617,0.077,0.563,0.06,0.701,5.1595,5065
2685,2,1,0.78,0.638,0.669,0.185,0.445,0.045,0.879,0.474,1,0.304,0.432,0.479,0.945,0.985,2.9055,7252
2686,2,0,0.224,0.639,0.29,0.06,0.54,0.967,0.28,0.256,1,0.085,0.553,0.639,0.74,0.449,8.253,2133
2687,2,1,0.119,0.272,0.347,0.817,0.263,0.25,0.806,0.205,1,0.429,0.982,0.081,0.093,0.835,4.1015,6128
2688,2,1,0.052,0.501,0.434,0.103,0.887,0.775,0.078,0.599,0,0.335,0.752,0.071,0.637,0.187,2.258,7792
2689,2,1,0.185,0.76,0.409,0.448,0.759,0.032,0.562,0.521,1,0.483,0.736,0.531,0.112,0.759,1.0345,8648
2690,2,0,0.308,0.389,0.325,0.476,0.942,0.224,0.235,0.826,0,0.715,0.481,0.41,0.207,0.587,-0.232,9251
2691,2,1,0.758,0.148,0.758,0.418,0.858,0.409,0.288,0.67,0,0.114,0.391,0.825,0.453,0.522,4.054,6167
2692,2,0,0.594,0.841,0.98,0.041,0.54,0.38,0.89,0.425,0,0.015,0.033,0.053,0.222,0.041,5.177,5045
2693,2,1,0.947,0.806,0.633,0.653,0.547,0.216,0.172,0.376,0,0.766,0.024,0.675,0.077,0.663,7.244,3001
2694,2,0,0.353,0.179,0.258,0.496,0.149,0.311,0.237,0.806,1,0.267,0.295,0.076,0.64,0.669,3.4835,6739
2695,2,1,0.923,0.917,0.169,0.704,0.297,0.747,0.207,0.206,1,0.531,0.818,0.991,0.872,0.486,8.687,1811
2696,2,1,0.973,0.736,0.361,0.1,0.594,0.699,0.988,0.654,1,0.084,0.645,0.761,0.557,0.258,3.6205,6597
2697,2,0,0.824,0.961,0.483,0.871,0.14,0.204,0.533,0.744,0,0.305,0.765,0.509,0.314,0.61,1.9765,8014
2698,2,1,0.319,0.83,0.935,0.904,0.456,0.967,0.09,0.885,0,0.718,0.647,0.865,0.506,0.274,9.2875,1462
2699,2,1,0.498,0.85,0.321,0.896,0.387,0.337,0.898,0.592,0,0.435,0.665,0.029,0.998,0.297,2.604,7518
2700,2,0,0.167,0.174,0.634,0.322,0.404,0.318,0.934,0.789,0,0.704,0.4,0.554,0.72,0.74,0.8265,8759
2701,2,0,0.377,0.575,0.213,0.248,0.117,0.002,0.054,0.57,1,0.519,0.706,0.855,0.719,0.075,-1.7095,9700
2702,2,1,0.822,0.507,0.068,0.709,0.91,0.966,0.797,0,1,0.989,0.874,0.153,0.175,0.646,9.7705,1190
2703,2,0,0.386,0.812,0.337,0.58,0.681,0.346,0.877,0.414,0,0.045,0.179,0.641,0.753,0.281,4.578,5670
2704,2,0,0.135,0.186,0.158,0.984,0.323,0.892,0.537,0.39,1,0.52,0.79,0.85,0.506,0.843,9.509,1343
2705,2,1,0.722,0.311,0.425,0.514,0.455,0.186,0.03,0.542,0,0.058,0.438,0.975,0.484,0.932,2.869,7289
2706,2,0,0.429,0.853,0.099,0.531,0.402,0.846,0.033,0.286,1,0.598,0.138,0.685,0.459,0.823,11.669,465
2707,2,0,0.998,0.474,0.755,0.116,0.11,0.726,0.887,0.609,0,0.129,0.62,0.357,0.589,0.468,3.9865,6237
2708,2,0,0.997,0.617,0.297,0.421,0.046,0.442,0.155,0.981,0,0.993,0.123,0.648,0.235,0.195,2.0655,7947
2709,2,0,0.728,0.503,0.502,0.027,0.67,0.512,0.764,0.559,1,0.261,0.316,0.835,0.855,0.735,4.939,5284
2710,2,1,0.157,0.886,0.683,0.642,0.529,0.517,0.769,0.25,0,0.888,0.681,0.915,0.994,0.683,6.199,3991
2711,2,1,0.172,0.244,0.124,0.509,0.171,0.35,0.467,0.282,1,0.674,0.725,0.645,0.295,0.978,3.799,6445
2712,2,1,0.724,0.55,0.814,0.004,1,0.456,0.037,0.386,0,0.644,0.178,0.575,0.962,0.393,5.2465,4971
2713,2,1,0.207,0.245,0.89,0.154,0.136,0.347,0.82,0.874,0,0.565,0.107,0.528,0.126,0.02,1.477,8368
2714,2,1,0.895,0.852,0.518,0.113,0.149,0.365,0.92,0.496,1,0.792,0.766,0.463,0.588,0.318,1.7075,8213
2715,2,0,0.425,0.671,0.065,0.466,0.123,0.396,0.445,0.305,0,0.67,0.161,0.245,0.707,0.872,4.8395,5386
2716,2,1,0.091,0.085,0.45,0.089,0.355,0.526,0.599,0.72,1,0.752,0.431,0.717,0.231,0.523,2.638,7482
2717,2,0,0.416,0.595,0.944,0.616,0.858,0.658,0.425,0.125,0,0.143,0.753,0.1,0.004,0.22,8.3665,2049
2718,2,0,0.239,0.866,0.241,0.494,0.1,0.262,0.326,0.16,1,0.373,0.214,0.347,0.401,0.349,6.6565,3534
2719,2,1,0.614,0.059,0.71,0.375,0.47,0.754,0.293,0.114,0,0.869,0.726,0.428,0.897,0.696,7.2295,3015
2720,2,0,0.178,0.65,0.636,0.647,0.623,0.728,0.409,0.972,1,0.935,0.957,0.982,0.133,0.694,4.8615,5361
2721,2,0,0.927,0.302,0.975,0.902,0.162,0.861,0.598,0.286,0,0.595,0.424,0.738,0.461,0.1,11.768,434
2722,2,1,0.823,0.503,0.313,0.433,0.179,0.93,0.109,0.215,1,0.132,0.041,0.719,0.123,0.131,12.513,256
2723,2,0,0.908,0.275,0.378,0.373,0.521,0.438,0.5,0.858,0,0.783,0.501,0.799,0.197,0.745,1.041,8643
2724,2,0,0.235,0.163,0.661,0.637,0.023,0.396,0.34,0.511,1,0.61,0.964,0.014,0.764,0.514,4.0285,6197
2725,2,0,0.217,0.213,0.774,0.971,0.383,0.391,0.821,0.695,0,0.412,0.615,0.026,0.162,0.239,4.182,6047
2726,2,0,0.772,0.229,0.707,0.424,0.383,0.858,0.905,0.942,0,0.162,0.273,0.97,0.953,0.709,6.4295,3751
2727,2,1,0.524,0.684,0.565,0.37,0.682,0.839,0.111,0.593,0,0.846,0.918,0.83,0.956,0.854,4.96,5265
2728,2,0,0.735,0.764,0.201,0.98,0.565,0.486,0.143,0.003,0,0.692,0.203,0.475,0.837,0.441,9.866,1138
2729,2,1,0.453,0.487,0.589,0.243,0.916,0.24,0.776,0.649,1,0.905,0.173,0.936,0.027,0.409,3.4795,6744
2730,2,0,0.358,0.721,0.777,0.64,0.473,0.534,0.152,0.611,1,0.985,0.932,0.167,0.849,0.17,5.3755,4840
2731,2,1,0.294,0.739,0.132,0.626,0.362,0.242,0.281,0.38,1,0.91,0.723,0.711,0.759,0.643,3.1935,6988
2732,2,1,0.41,0.468,0.527,0.708,0.492,0.892,0.898,0.509,1,0.325,0.907,0.888,0.437,0.815,8.539,1911
2733,2,1,0.856,0.9,0.568,0.943,0.065,0.817,0.816,0.445,0,0.116,0.509,0.139,0.257,0.051,9.2835,1465
2734,2,0,0.155,0.677,0.563,0.554,0.897,0.068,0.217,0.407,0,0.945,0.317,0.719,0.146,0.472,2.719,7420
2735,2,1,0.71,0.464,0.325,0.38,0.602,0.08,0.829,0.838,1,0.328,0.611,0.069,0.72,0.243,-1.2145,9579
2736,2,1,0.791,0.729,0.484,0.26,0.665,0.328,0.26,0.752,0,0.849,0.606,0.662,0.517,0.673,0.5195,8921
2737,2,1,0.583,0.593,0.459,0.193,0.253,0.303,0.019,0.083,0,0.551,0.964,0.007,0.726,0.259,0.9685,8677
2738,2,0,0.639,0.001,0.809,0.799,0.515,0.773,0.188,0.278,1,0.368,0.073,0.678,0.184,0.839,14.867,41
2739,2,1,0.586,0.518,0.321,0.629,0.637,0.309,0.316,0.864,1,0.05,0.092,0.998,0.742,0.801,5.7925,4396
2740,2,0,0.341,0.819,0.462,0.217,0.205,0.857,0.071,0.029,0,0.969,0.834,0.794,0.733,0.319,6.3865,3783
2741,2,1,0.617,0.51,0.501,0.287,0.92,0.8,0.983,0.984,1,0.261,0.597,0.751,0.336,0.544,4.455,5797
2742,2,1,0.348,0.365,0.281,0.958,0.923,0.188,0.866,0.7,0,0.607,0.733,0.639,0.493,0.39,0.2075,9063
2743,2,0,0.073,0.361,0.113,0.27,0.875,0.709,0.168,0.191,1,0.668,0.491,0.046,0.824,0.653,6.939,3256
2744,2,1,0.696,0.275,0.472,0.496,0.798,0.675,0.918,0.143,0,0.424,0.217,0.106,0.203,0.266,7.86,2470
2745,2,0,0.759,0.257,0.556,0.276,0.856,0.415,0.048,0.549,1,0.143,0.981,0.372,0.667,0.484,2.517,7594
2746,2,0,0.231,0.259,0.966,0.449,0.659,0.935,0.751,0.531,1,0.295,0.799,0.772,0.576,0.089,8.5485,1908
2747,2,1,0.899,0.723,0.882,0.66,0.356,0.711,0.926,0.502,1,0.413,0.649,0.833,0.171,0.395,9.3935,1405
2748,2,1,0.565,0.581,0.186,0.469,0.316,0.324,0.95,0.855,1,0.776,0.207,0.263,0.606,0.908,3.2585,6940
2749,2,1,0.871,0.96,0.267,0.203,0.562,0.164,0.073,0.046,0,0.618,0.373,0.256,0.344,0.897,3.659,6568
2750,2,0,0.199,0.969,0.761,0.837,0.388,0.868,0.627,0.77,0,0.988,0.691,0.366,0.8,0.717,7.891,2440
2751,2,0,0.844,0.28,0.994,0.668,0.064,0.933,0.473,0.346,0,0.924,0.335,0.051,0.82,0.416,11.766,436
2752,2,1,0.868,0.3,0.263,0.546,0.578,0.856,0.967,0.603,0,0.526,0.577,0.469,0.014,0.564,5.08,5151
2753,2,1,0.985,0.926,0.564,0.082,0.416,0.929,0.244,0.586,1,0.78,0.61,0.371,0.638,0.612,7.8205,2508
2754,2,1,0.9,0.184,0.897,0.963,0.656,0.834,0.734,0.988,1,0.124,0.079,0.539,0.307,0.078,11.695,459
2755,2,0,0.125,0.649,0.357,0.954,0.816,0.032,0.838,0.973,0,0.953,0.194,0.813,0.858,0.453,0.6955,8825
2756,2,0,0.655,0.562,0.766,0.33,0.026,0.801,0.844,0.944,1,0.517,0.347,0.465,0.902,0.556,7.288,2967
2757,2,1,0.43,0.273,0.118,0.744,0.375,0.258,0.153,0.684,0,0.382,0.109,0.957,0.314,0.882,3.758,6478
2758,2,0,0.655,0.767,0.606,0.91,0.962,0.345,0.206,0.923,0,0.339,0.468,0.311,0.76,0.761,4.6395,5616
2759,2,1,0.508,0.784,0.836,0.627,0.123,0.14,0.655,0.85,1,0.73,0.385,0.18,0.051,0.092,3.58,6635
2760,2,1,0.385,0.708,0.707,0.77,0.679,0.549,0.098,0.875,1,0.981,0.204,0.671,0.65,0.972,9.445,1376
2761,2,1,0.985,0.817,0.793,0.376,0.262,0.252,0.062,0.812,1,0.074,0.678,0.387,0.703,0.212,3.1465,7029
2762,2,1,0.228,0.878,0.974,0.049,0.524,0.703,0.266,0.404,1,0.976,0.169,0.679,0.034,0.141,9.3495,1432
2763,2,0,0.862,0.934,0.658,0.951,0.462,0.652,0.827,0.782,1,0.25,0.141,0.853,0.985,0.704,11.457,528
2764,2,1,0.545,0.954,0.368,0.164,0.441,0.521,0.175,0.015,0,0.594,0.073,0.625,0.758,0.311,7.241,3003
2765,2,1,0.606,0.997,0.59,0.617,0.337,0.181,0.414,0.985,1,0.338,0.606,0.846,0.143,0.548,2.477,7624
2766,2,0,0.707,0.508,0.712,0.927,0.726,0.266,0.371,0.375,0,0.458,0.607,0.622,0.815,0.9,6.3125,3874
2767,2,1,0.706,0.387,0.904,0.853,0.348,0.671,0.381,0.256,1,0.51,0.546,0.245,0.339,0.813,12.5625,248
2768,2,1,0.925,0.954,0.362,0.138,0.832,0.165,0.975,0.471,0,0.72,0.312,0.155,0.752,0.899,0.973,8674
2769,2,0,0.376,0.843,0.359,0.449,0.46,0.74,0.556,0.353,0,0.624,0.363,0.055,0.545,0.125,6.3715,3805
2770,2,0,0.127,0.134,0.777,0.221,0.851,0.362,0.475,0.881,0,0.633,0.56,0.556,0.761,0.508,0.072,9137
2771,2,1,0.091,0.174,0.988,0.394,0.891,0.193,0.931,0.525,0,0.457,0.938,0.067,0.921,0.599,0.1095,9113
2772,2,0,0.113,0.428,0.138,0.867,0.859,0.152,0.817,0.349,0,0.127,0.277,0.199,0.686,0.348,3.099,7072
2773,2,0,0.181,0.161,0.6,0.693,0.916,0.02,0.32,0.054,1,0.935,0.953,0.318,0.544,0.955,3.8865,6350
2774,2,1,0.851,0.711,0.874,0.583,0.809,0.962,0.295,0.366,0,0.187,0.809,0.317,0.043,0.384,9.556,1313
2775,2,1,0.554,0.883,0.342,0.601,0.049,0.023,0.387,0.513,0,0.125,0.028,0.241,0.949,0.034,2.6135,7506
2776,2,1,0.688,0.063,0.124,0.369,0.444,0.727,0.615,0.544,1,0.72,0.144,0.211,0.147,0.393,6.7385,3467
2777,2,1,0.863,0.105,0.921,0.487,0.843,0.252,0.069,0.191,1,0.367,0.687,0.262,0.784,0.588,6.911,3285
2778,2,1,0.856,0.053,0.444,0.621,0.561,0.398,0.266,0.957,1,0.13,0.336,0.602,0.186,0.701,4.8015,5427
2779,2,0,0.653,0.68,0.055,0.439,0.59,0.592,0.649,0.793,1,0.086,0.955,0.481,0.955,0.815,1.948,8038
2780,2,0,0.79,0.421,0.52,0.623,0.681,0.367,0.443,0.217,0,0.662,0.999,0.551,0.129,0.075,2.2055,7837
2781,2,0,0.424,0.702,0.3,0.052,0.728,0.422,0.358,0.373,1,0.382,0.891,0.298,0.744,0.66,1.871,8093
2782,2,0,0.824,0.402,0.915,0.558,0.038,0.331,0.591,0.51,0,0.148,0.027,0.45,0.832,0.231,6.9085,3287
2783,2,0,0.366,1,0.823,0.05,0.027,0.467,0.403,0.928,1,0.524,0.855,0.208,0.299,0.314,1.352,8444
2784,2,1,0.007,0.14,0.528,0.277,0.215,0.173,0.085,0.552,0,0.39,0.077,0.44,0.756,0.635,2.552,7568
2785,2,0,0.023,0.697,0.469,0.402,0.671,0.016,0.165,0.624,0,0.946,0.288,0.768,0.9,0.683,0.549,8900
2786,2,1,0.373,0.878,0.598,0.617,0.137,0.342,0.695,0.52,0,0.622,0.924,0.937,0.569,0.749,2.175,7870
2787,2,1,0.638,0.085,0.441,0.111,0.631,0.755,0.373,0.916,0,0.227,0.71,0.528,0.313,0.301,0.598,8874
2788,2,1,0.24,0.211,0.413,0.057,0.33,0.756,0.811,0.471,0,0.54,0.639,0.302,0.001,0.556,2.519,7592
2789,2,0,0.747,0.961,0.98,0.318,0.289,0.681,0.96,0.359,0,0.112,0.104,0.502,0.411,0.181,9.233,1502
2790,2,1,0.522,0.162,0.004,0.393,0.304,0.806,0.121,0.44,0,0.595,0.406,0.554,0.831,0.31,4.6685,5585
2791,2,0,0.687,0.55,0.825,0.402,0.284,0.377,0.689,0.433,1,0.686,0.565,0.865,0.786,0.009,5.211,5013
2792,2,1,0.19,0.25,0.847,0.841,0.286,0.309,0.289,0.809,0,0.508,0.102,0.738,0.642,0.564,6.158,4031
2793,2,0,0.901,0.776,0.004,0.198,0.645,0.568,0.68,0.63,1,0.27,0.667,0.7,0.863,0.341,1.988,8002
2794,2,0,0.125,0.465,0.119,0.204,0.164,0.796,0.494,0.768,0,0.945,0.069,0.736,0.248,0.41,3.855,6388
2795,2,0,0.734,0.076,0.865,0.774,0.597,0.737,0.08,0.907,1,0.53,0.4,0.542,0.043,0.123,8.9735,1644
2796,2,1,0.923,0.448,0.59,0.733,0.496,0.383,0.406,0.886,1,0.527,0.492,0.525,0.152,0.29,4.874,5344
2797,2,0,0.703,0.65,0.687,0.04,0.363,0.572,0.682,0.211,1,0.725,0.997,0.803,0.529,0.6,4.341,5918
2798,2,0,0.211,0.768,0.71,0.349,0.067,0.386,0.737,0.638,1,0.737,0.96,0.478,0.68,0.324,1.937,8047
2799,2,1,0.959,0.073,0.341,0.619,0.707,0.884,0.855,0.682,0,0.342,0.817,0.107,0.596,0.25,3.9375,6289
2800,2,0,0.5,0.553,0.822,0.527,0.674,0.228,0.251,0.236,0,0.512,0.493,0.447,0.756,0.724,5.484,4723
2801,2,0,0.761,0.463,0.874,0.63,0.793,0.149,0.953,0.79,0,0.745,0.462,0.556,0.566,0.072,1.204,8534
2802,2,1,0.249,0.644,0.332,0.61,0.649,0.299,0.537,0.67,1,0.154,0.695,0.127,0.791,0.546,2.9185,7237
2803,2,0,0.064,0.984,0.873,0.501,0.658,0.257,0.51,0.46,1,0.181,0.721,0.081,0.387,0.063,4.658,5595
2804,2,0,0.129,0.33,0.205,0.33,0.543,0.828,0.355,0.502,0,0.001,0.054,0.088,0.105,0.644,7.319,2941
2805,2,1,0.753,0.923,0.379,0.787,0.173,0.475,0.935,0.5,1,0.608,0.79,0.283,0.829,0.837,6.117,4066
2806,2,0,0.7,0.067,0.493,0.078,0.079,0.995,0.511,0.249,0,0.515,0.668,0.844,0.832,0.802,6.5885,3603
2807,2,1,0.666,0.294,0.146,0.848,0.619,0.589,0.022,0.834,0,0.098,0.11,0.326,0.636,0.894,6.713,3488
2808,2,1,0.312,0.242,0.768,0.045,0.146,0.12,0.781,0.409,1,0.786,0.387,0.879,0.878,0.093,1.6405,8268
2809,2,0,0.168,0.797,0.053,0.566,0.081,0.595,0.066,0.431,0,0.154,0.456,0.62,0,0.2,4.405,5836
2810,2,1,0.388,0.362,0.856,0.811,0.013,0.1,0.272,0.064,0,0.383,0.415,0.586,0.141,0.535,6.779,3427
2811,2,0,0.656,0.022,0.651,0.67,0.151,0.301,0.024,0.699,0,0.03,0.602,0.27,0.454,0.148,2.39,7685
2812,2,1,0.676,0.721,0.569,0.754,0.994,0.052,0.789,0.446,0,0.144,0.697,0.395,0.365,0.166,1.194,8539
2813,2,0,0.751,0.186,0.257,0.418,0.661,0.736,0.305,0.964,0,0.533,0.967,0.922,0.685,0.479,0.0595,9144
2814,2,1,0.462,0.768,0.702,0.01,0.461,0.723,0.354,0.739,0,0.681,0.153,0.979,0.145,0.39,5.0715,5158
2815,2,0,0.564,0.943,0.262,0.434,0.94,0.374,0.328,0.368,0,0.213,0.04,0.423,0.616,0.862,6.2535,3941
2816,2,1,0.569,0.777,0.177,0.902,0.1,0.263,0.048,0.78,0,0.21,0.583,0.447,0.627,0.868,2.7175,7426
2817,2,1,0.864,0.627,0.303,0.266,0.527,0.109,0.052,0.872,0,0.077,0.394,0.838,0.16,0.095,-1.805,9722
2818,2,1,0.405,0.328,0.177,0.731,0.722,0.752,0.561,0.462,0,0.205,0.047,0.068,0.809,0.499,8.4495,1983
2819,2,0,0.644,0.759,0.23,0.471,0.439,0.703,0.051,0.564,0,0.973,0.136,0.244,0.944,0.904,7.2985,2954
2820,2,1,0.264,0.973,0.811,0.474,0.329,0.578,0.545,0.575,1,0.622,0.828,0.113,0.288,0.797,6.6675,3524
2821,2,0,0.405,0.063,0.702,0.879,0.354,0.121,0.167,0.389,1,0.863,0.607,0.445,0.231,0.534,5.659,4527
2822,2,0,0.359,0.128,0.007,0.829,0.87,0.388,0.676,0.842,1,0.286,0.585,0.741,0.942,0.901,2.982,7180
2823,2,1,0.582,0.355,0.816,0.305,0.11,0.933,0.245,0.969,0,0.033,0.059,0.92,0.221,0.135,7.7,2608
2824,2,0,0.091,0.406,0.487,0.632,0.84,0.099,0.207,0.216,1,0.568,0.486,0.976,0.634,0.151,4.577,5673
2825,2,1,0.306,0.47,0.378,0.383,0.466,0.316,0.332,0.505,0,0.049,0.476,0.67,0.533,0.963,2.761,7376
2826,2,1,0.775,0.587,0.989,0.314,0.013,0.791,0.966,0.554,1,0.501,0.022,0.269,0.694,0.741,11.8435,405
2827,2,1,0.123,0.75,0.164,0.102,0.358,0.29,0.619,0.343,1,0.276,0.416,0.505,0.053,0.475,2.458,7639
2828,2,1,0.324,0.407,0.923,0.307,0.526,0.044,0.495,0.74,1,0.28,0.625,0.707,0.984,0.9,2.038,7963
2829,2,1,0.209,0.981,0.504,0.166,0.742,0.465,0.202,0.666,1,0.767,0.693,0.756,0.021,0.371,2.8275,7314
2830,2,1,0.826,0.804,0.721,0.476,0.793,0.607,0.12,0.813,1,0.239,0.473,0.552,0.275,0.083,6.792,3417
2831,2,0,0.334,0.388,0.023,0.861,0.273,0.017,0.806,0.437,0,0.43,0.514,0.947,0.93,0.025,-0.6505,9411
2832,2,1,0.62,0.961,0.577,0.726,0.853,0.878,0.548,0.274,1,0.277,0.79,0.41,0.154,0.037,10.282,919
2833,2,0,0.84,0.884,0.475,0.957,0.643,0.977,0.545,0.081,1,0.173,0.818,0.726,0.208,0.026,12.7175,219
2834,2,0,0.429,0.213,0.649,0.417,0.694,0.254,0.991,0.067,1,0.073,0.248,0.132,0.152,0.073,6.6475,3542
2835,2,0,0.725,0.538,0.162,0.412,0.139,0.399,0.198,0.709,1,0.277,0.047,0.935,0.391,0.808,5.896,4299
2836,2,0,0.889,0.867,0.522,0.853,0.948,0.134,0.331,0.67,1,0.56,0.121,0.377,0.96,0.339,6.679,3513
2837,2,0,0.834,0.939,0.523,0.966,0.074,0.301,0.859,0.529,1,0.799,0.732,0.903,0.041,0.314,5.5935,4598
2838,2,0,0.116,0.293,0.704,0.55,0.47,0.233,0.963,0.554,0,0.971,0.356,0.882,0.14,0.306,2.2415,7805
2839,2,1,0.066,0.24,0.966,0.23,0.562,0.064,0.896,0.678,1,0.874,0.638,0.508,0.293,0.291,0.3225,9018
2840,2,1,0.149,0.842,0.363,0.712,0.281,0.074,0.278,0.094,1,0.141,0.847,0.793,0.771,0.375,4.0295,6195
2841,2,1,0.525,0.492,0.922,0.109,0.234,0.054,0.665,0.927,1,0.584,0.681,0.888,0.596,0.162,-1.3345,9615
2842,2,0,0.604,0.509,0.597,0.845,0.139,0.079,0.255,0.524,1,0.032,0.768,0.049,0.903,0.134,3.526,6697
2843,2,0,0.793,0.088,0.886,0.52,0.613,0.498,0.312,0.015,1,0.227,0.208,0.492,0.562,0.238,11.429,537
